GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SITDR001IMPL,com.bbva.sitd.lib.r001.impl,SITDR001Impl,287,110,5,1,57,22,4,3,1,3
SITDR001IMPL,com.bbva.sitd.lib.r001.impl,SITDR001Abstract,0,11,0,0,0,5,0,3,0,3
